,MV,Sharpe_Ratio,HRP,cvar,risk_parity,cdar,random,IVP,eigen,equal
2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,0.0232838085937499,-0.004498768310546852,-0.06431543701171871,-0.1681789819335937,-0.07232395996093754,-0.07632822143554685,-0.0923452673339844,-0.06831969848632813,-0.08033248291015627,-0.07632822143554685
2022-06-30,-0.3520308994493848,-0.352626000596882,-0.3121018825420936,-0.44181650311296816,-0.33366119605425926,-0.35240191105228025,-0.34942956691791793,-0.3150815722008108,-0.35559598929974834,-0.35240191105228025
2022-07-31,0.16071802562482773,0.16535522889088505,0.27316401963251935,0.5656104764900907,0.28358307856307974,0.3213585040703193,0.3204681182460529,0.2755315376063807,0.3321972523893806,0.3213585040703193
2022-08-31,-0.1281331133421808,-0.10836964069964361,-0.0869996002427299,-0.075616886076044,-0.10627480629263075,-0.07801170955298731,-0.10735824236599201,-0.08759074772745534,-0.06845118707845133,-0.07519809737756478
2022-09-30,-0.027628962387739153,-0.14493454240966352,-0.05373732233060424,-0.14443403052914583,-0.06835589763070204,-0.08281378429921482,-0.10527882457707938,-0.054137511131220006,-0.08516066526761246,-0.07534482909468099
2022-10-31,0.048921208739530764,0.036462333577350625,0.09530221940423922,0.18305007995567424,0.0953007062207527,0.10739297819938098,0.1075454423426232,0.09605256946237084,0.12097126104927591,0.10607142887459253
2022-11-30,-0.1458474657290889,-0.1121286784087493,-0.13230920013853498,-0.1751417003528316,-0.16300961209220255,-0.1385211811725242,-0.16703371499049458,-0.12967057944976645,-0.12864796559731595,-0.12975526162958284
2022-12-31,-0.03187310683640465,-0.033860106018529734,-0.039795226854343335,-0.0758162643111544,-0.04950890182891965,-0.04852300828563927,-0.04233828291863839,-0.039599389930342066,-0.04748212026501575,-0.04681606134440475
2023-01-31,0.3494254367462062,0.3884554923438954,0.28934625929800317,0.3232462181508302,0.34504759736154766,0.27479914297331964,0.27786866821672906,0.2904819751329124,0.2618173770879353,0.26343235809724486
2023-02-28,-0.03608040913242272,-0.031060486090955908,-0.03630474019536212,-0.018589431607180518,-0.02157955416484969,-0.01899446967383356,-0.013354630305203785,-0.036415164125250254,-0.022411728928871777,-0.0197797260017033
