,MV,Sharpe_Ratio,HRP,risk_parity,cvar,cdar,random,equal
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,-0.07468486328125001,0.22052781372070318,0.024375220642089745,0.05308177673339842,0.22052781372070318,0.07341992782592777,0.08396363265991202,0.07095123641967782
2020-03-31,-0.23079224909334628,-0.271279795097773,-0.28096002643865736,-0.2852169956428392,-0.39221960611873274,-0.3064696542587584,-0.32193443381209585,-0.32178762696629837
2020-04-30,0.3430793462787167,0.39144391661399625,0.42740429837153915,0.42664275719574496,0.5537071399151914,0.4375122898881225,0.42078680042426275,0.43908015387338284
2020-05-31,0.18386049478243205,-0.045266897092693936,0.12259162283840452,0.11616815859020879,0.06581044785855439,0.09753253658860617,0.08191994917087397,0.09996626516598539
2020-06-30,-0.03307343336689139,-0.02007019821697098,-0.0242882114775419,-0.0255895582193838,-0.017279248728328422,-0.02589105489038479,-0.028444312039001107,-0.026779461993572506
2020-07-31,0.24532977004218326,0.32189510583614167,0.3315993641989021,0.3540055403237725,0.4637105221370912,0.3765646250131991,0.3514373214436606,0.37184671479704035
2020-08-31,0.06969734757395307,0.25853471940410255,0.1030203787125894,0.12544784294689393,0.16535331973037004,0.1450542933295964,0.13897168537871973,0.14333419542102033
2020-09-30,-0.07378608092075212,-0.15554588717437823,-0.09491247839311512,-0.11066344111388726,-0.17260633636158595,-0.1216890433620601,-0.12444611232150127,-0.12469304605506237
2020-10-31,0.2633223351528138,0.2763227939723123,0.20627505287647563,0.19083356496918902,0.13015529992365416,0.15529313151315716,0.14407167168278034,0.1531444948245715
2020-11-30,0.44186830061893856,0.43871585028542004,0.47292968299765437,0.47060437950180667,0.44571791216155576,0.4795657905184534,0.4794884306469942,0.4844496386426318
2020-12-31,0.46431666885108314,0.13465429215194002,0.3659086230334243,0.3362949113384104,0.13780497767685707,0.31103093576669405,0.2852663953042094,0.31489636084866457
2021-01-31,0.20141345939287647,0.39397312336955226,0.3688154463801574,0.40558424727729125,0.19435782037223914,0.43983844509750236,0.44239966964874555,0.4429460617837915
2021-02-28,0.2587460982357075,0.12943963311012507,0.23154309717251098,0.21424003211933518,0.11481255527255696,0.21203924852218559,0.16528022011391874,0.20307666954275105
2021-03-31,0.3156326617540477,0.2840988357357097,0.3080875301461794,0.3276462016914823,0.28196753802522156,0.3266507472704856,0.3345323759695673,0.3110030431928992
2021-04-30,-0.0041697244002546485,0.3019352833942677,0.13247128663191332,0.16664462023169557,0.1978989742056605,0.21033598948004095,0.24078466844329616,0.20552819441707015
2021-05-31,-0.3216242036613183,-0.020964984332068837,-0.2407786023050168,-0.21485548902567764,-0.10144676226439353,-0.1747451291373776,-0.16798500437367236,-0.18104379509926205
2021-06-30,-0.047000224981198935,-0.05701215749703148,-0.06523627357112172,-0.08275188170733638,-0.25133298744606225,-0.09843916514478424,-0.08349993549307122,-0.10428067425910215
2021-07-31,0.15314099836532336,0.13501444850386846,0.14819637201011426,0.1469497140290872,0.1717779927602312,0.1529608418538806,0.1379838097286641,0.14260363713378288
2021-08-31,0.15155567807149883,0.29658368088725084,0.21203378393539452,0.23101706256713106,0.23249146669140597,0.23803531824783875,0.2597207947393596,0.2348263648800626
2021-09-30,-0.06355379502741798,-0.0858156074393569,-0.08172152035645397,-0.08991364903141874,-0.165038589507442,-0.09795084209907623,-0.08454864536488516,-0.09593776521357444
2021-10-31,0.440970073726608,0.40041842372431735,0.4169104793561278,0.40778384029786263,0.3777295129270013,0.41431455200534195,0.4228302360400793,0.4081689947540148
2021-11-30,-0.04896238297702782,0.008048867268857673,-0.006134231939807222,-0.005810877615322396,0.05931527265362968,0.007172815514351338,0.008791500537183694,0.005942393634285725
2021-12-31,-0.16648478222353946,-0.19055202786069725,-0.17983315869501126,-0.18287732914657706,-0.1657629124353407,-0.18111657075313148,-0.17696854700927078,-0.17909249082525192
