,HRP,risk_parity,eigen,equal
2022-01-31,0.0,0.0,0.0,0.0
2022-02-28,0.08423261962890627,0.08788962646484366,0.09385965576171884,0.08874909179687496
2022-03-31,0.09057817324496908,0.0875668510207408,0.083050834312002,0.08146405062568807
2022-04-30,-0.14056957935083614,-0.14192765487297598,-0.14598811930011646,-0.14720263069063522
2022-05-31,-0.16777397213977907,-0.18314055787293382,-0.19219651861430231,-0.20053737545399275
2022-06-30,-0.32232089186969404,-0.3437978781127278,-0.3763591562953348,-0.37075679522851435
2022-07-31,0.2582037054249604,0.26916366404277126,0.33231390451331966,0.3284188905388361
2022-08-31,-0.10501136882792728,-0.07130214877158958,-0.08417189545109771,-0.0829144319291576
2022-09-30,-0.06014517651872309,-0.06207212798018458,-0.07889096880365931,-0.07972877651865673
2022-10-31,0.0901296400920295,0.0990175560408133,0.1113333156113161,0.1095315091237512
2022-11-30,-0.11784286064070426,-0.12511933316538837,-0.14799337035527693,-0.14553553004253728
2022-12-31,-0.04448744766024049,-0.04688431113157665,-0.0504071194397302,-0.04937970207562703
2023-01-31,0.2879545330889144,0.32128694006714364,0.28135077929036645,0.2881225922398918
2023-02-28,0.004123696541014299,0.005143516267616777,0.008702830102569559,0.00601211656835865
2023-03-31,0.03815698602822448,0.03810435125931355,0.040214663419437136,0.03932644280783526
