,MV,Sharpe_Ratio,HRP
2022-03-31,0.0,0.0,0.0
2022-04-30,0.0,0.0,0.0
2022-05-31,0.045559687499999946,0.045559687499999946,-0.044877915039062466
2022-06-30,-0.34453080377704404,-0.34453080377704404,-0.30894655191305276
2022-07-31,0.1554940839448662,0.1554940839448662,0.2644778733214992
2022-08-31,-0.1245287597971052,-0.09077567003098275,-0.0936589485559981
2022-09-30,-0.02674121644448646,-0.13772867610198503,-0.052240182813252045
2022-10-31,0.04730613272191331,0.04291543357998151,0.09221293687419618
2022-11-30,-0.14124997322502653,-0.12649803230301715,-0.12674631246318857
2022-12-31,-0.030703123227322604,-0.03396002333950132,-0.039739334353255384
2023-01-31,0.33619259610830854,0.36193660769228586,0.28570463382672995
2023-02-28,0.06450122790824997,0.06864121368925735,0.06291466364848097
