,HRP,risk_parity,eigen,equal
2022-01-31,0.0,0.0,0.0,0.0
2022-02-28,-1.7074487209334244e-05,0.00024541709780701026,7.623230278497317e-05,0.00024541709780701026
2022-03-31,-0.00013151294073510122,-0.0003034244475024206,0.00041479071002381573,-0.0003034244475024206
2022-04-30,-9.060215396816673e-05,0.00015926669106547386,0.00028709196652898505,0.00015926669106547386
2022-05-31,-0.0010831931411335871,-5.3784091141539925e-05,0.00011079853226525493,-5.3784091141539925e-05
2022-06-30,-0.0003728401252715008,-0.0003314411671190287,-0.00013176053809171862,-0.0003314411671190287
2022-07-31,0.0009684750396405928,0.00010919962443889375,-0.0005304184160881409,0.00010919962443889375
2022-08-31,-0.00015285544015153363,0.00015124433678903593,0.0003946347564984798,0.00015124433678903593
2022-09-30,3.512850706766102e-06,8.239133767684592e-05,9.573284291053419e-05,8.239133767684592e-05
2022-10-31,-8.541227440150845e-05,-3.630716626512598e-05,0.0002495819104351149,-3.630716626512598e-05
2022-11-30,-0.0008835597439816878,-0.00010501832488241103,0.009337426648692082,-0.00010501832488241103
2022-12-31,-8.88016622211385e-05,-9.105717091895116e-06,0.00047340119777428136,-9.105717091895116e-06
2023-01-31,0.00015058613345364513,0.00016740780030599645,-0.00023404072874688708,0.00016740780030599645
2023-02-28,-2.4454631272430305e-05,-0.00028274711064235625,-0.00039955508235833825,-0.00028274711064235625
2023-03-31,0.001238181961922491,0.00031528492498900107,-0.0010200211027444617,0.00031528492498900107
