,HRP,risk_parity,eigen,equal
2022-01-31,0.0,0.0,0.0,0.0
2022-02-28,0.0855998681640624,0.09434593749999998,0.10600736328124993,0.10309200683593756
2022-03-31,0.09762304784572562,0.0873655857365716,0.09314973427169582,0.08369050547426293
2022-04-30,-0.14292297637873908,-0.1431181908349095,-0.1507150469555748,-0.14320617503870037
2022-05-31,-0.18786301554544182,-0.19071582879018645,-0.21113632736414645,-0.19755711704744428
2022-06-30,-0.32629534934864357,-0.34917555523158095,-0.37657753894421475,-0.3711385437876107
2022-07-31,0.2606825376352049,0.299704707344264,0.35094941867013385,0.3428921880133573
2022-08-31,-0.11440472321543693,-0.07555044424918489,-0.08479590638362722,-0.08419578035735575
2022-09-30,-0.05682263850102687,-0.06109397883589762,-0.08411713040314572,-0.07635886152926996
2022-10-31,0.08938278891643892,0.0986399845860304,0.135075109405852,0.1098315657110065
2022-11-30,-0.1502571265384074,-0.177834422277808,-0.12668525315631474,-0.133138852368467
2022-12-31,-0.04641350142885681,-0.04207751384433267,-0.05109237687333068,-0.04952397735603642
2023-01-31,0.3351627176296761,0.24546269825517641,0.2836239771037712,0.2766012010817207
2023-02-28,0.0029018754691874094,0.004419919758587243,0.0040362367534552135,0.006049825318912072
2023-03-31,0.032192508631591954,0.034142435982483565,0.03457571635599699,0.0344242798268215
