,HRP,risk_parity,eigen,equal
2022-01-31,0.0,0.0,0.0,0.0
2022-02-28,0.06502000000000008,0.07949700195312492,0.09106211425781252,0.08874909179687496
2022-03-31,0.08719637316450046,0.08101522127280547,0.08336931946253756,0.08146405062568807
2022-04-30,-0.1370357585108941,-0.14309674271779016,-0.15202553084098414,-0.14463891599516654
2022-05-31,-0.17207773516345004,-0.18690056987167625,-0.20218113380034464,-0.20138238443730405
2022-06-30,-0.3244382042678199,-0.349579715806663,-0.3841005315537529,-0.3730709888856839
2022-07-31,0.26684812225208043,0.283614074644563,0.3510106712693015,0.34227418623472294
2022-08-31,-0.10007589229306457,-0.06913011675305303,-0.07820206917666206,-0.08067173791946969
2022-09-30,-0.07013078719045973,-0.0752303647022714,-0.08847714984135979,-0.07881792215729133
2022-10-31,0.07814316973111479,0.08286905189671678,0.10135684034438674,0.10792094899990223
2022-11-30,-0.15062167841978524,-0.11538484331498233,-0.12790095729158435,-0.1390029035323841
2022-12-31,-0.043724366725792274,-0.04887432770630906,-0.04909462275442511,-0.04934934770948529
2023-01-31,0.3320935843741315,0.2362953114478512,0.2819575068327458,0.2807941665825524
2023-02-28,0.0032902691708751597,0.004667448728992385,0.007427481770754474,0.007136019191779308
2023-03-31,0.03875426650937763,0.039252015886518166,0.040515408359275584,0.03871254167990856
