,MV,Sharpe_Ratio,HRP
Max_Drawdown,45.92284847589105,49.802533149111824,39.1161585755263
CAGR,-12.484294956610842,-15.747648947302734,-7.781965748236665
Sharpe_Ratio,-0.009831835471714862,-0.029776179066277723,0.020941616999119204
Value,83666.482421875,79520.7978515625,89732.17492675783
