,MV,Sharpe_Ratio,HRP,cvar,risk_parity,cdar,random,IVP,eigen,equal
Max_Drawdown,46.922543578156805,50.0707509765625,38.94455712890625,56.662929565429685,45.382048217773445,42.71816528320313,48.30903698730469,39.49762133789063,43.2712294921875,42.71816528320313
CAGR,-20.802321299235935,-25.037089666013323,-15.40130792341331,-26.001116226807504,-19.051281798651374,-18.958966987551403,-24.304930555327537,-15.60404849183186,-17.86668993443909,-18.207566725326075
Sharpe_Ratio,-0.07174044589130131,-0.0964846232770849,-0.03574076521539095,-0.009261914149517438,-0.0430899538261173,-0.04462840240510454,-0.0810404023082934,-0.036030963495567545,-0.03530409106706153,-0.04171354670579922
Value,73613.86328125,68487.57531738281,80277.29479980469,67333.05151367188,75759.05212402344,75872.55346679688,69367.53173828125,80024.69445800781,77218.58032226562,76797.90747070312
