,MV,HRP,Sharpe_Ratio,risk_parity,cvar,cdar,eigen,random,equal
Max_Drawdown,62.03051992946841,59.27679692676527,60.21951608981377,59.82310543352028,70.41365621724609,61.49760519300503,61.34799917674661,61.56124960547004,61.34799917674661
Value,73055.13513183594,71568.46130371094,75665.69311523438,67576.85998535156,73379.07678222656,69781.32653808594,69901.63940429688,68296.76049804688,69901.63940429688
