data,MV,Sharpe_Ratio,HRP,risk_parity,cvar,cdar,random,equal,Benchmark
2022-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1223941500332939
2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17669527936959395
2022-04-30,-0.03637679687499995,-0.03637679687499995,-0.053361142578124965,-0.055873481445312456,-0.08290718261718755,-0.06089815917968755,-0.05838582031249995,-0.05838582031249995,0.0048896515811953645
2022-05-31,-0.1592996246757069,-0.2503773879668727,-0.2413821683766484,-0.25271102366531384,-0.3664045423238639,-0.26661459944924215,-0.27310249824293054,-0.26411565667478387,-0.152145588576037
2022-06-30,-0.4505558738088228,-0.5674481236367138,-0.5911438019969019,-0.6072621021789938,-0.8058608941412823,-0.6387874775848046,-0.6839446727936229,-0.6353017934983928,-0.5298338967809679
2022-07-31,-0.27265393216862777,-0.4301013263596617,-0.3035176036254811,-0.30157889934425486,-0.23888931238470745,-0.2832737336412865,-0.3279535376364886,-0.2812870193348179,-0.35029288009551185
2022-08-31,-0.4124178510290679,-0.5418517419192191,-0.3774130085191405,-0.38302224972306176,-0.31419334051876746,-0.3723357766328922,-0.4191720827622294,-0.36904339135250286,-0.49114849106764213
2022-09-30,-0.4429621945306129,-0.6274310323883009,-0.42943827966646797,-0.4512259739105169,-0.45798112342293207,-0.4505087809559132,-0.5183034492954138,-0.44962057878337736,-0.5219705306431943
2022-10-31,-0.38871622636681036,-0.5861484000498355,-0.3563994373210242,-0.3609115504500444,-0.2758876160563508,-0.3401100337222849,-0.4017077569326114,-0.3395457227751144,-0.4672156971290067
2022-11-30,-0.5496214305801131,-0.7198886188278754,-0.5273554147995698,-0.4831995001265271,-0.45025505834270496,-0.4836442554160124,-0.5108239954253819,-0.4765706041084389,-0.6295519486198818
2022-12-31,-0.5854162362051076,-0.7487073478206655,-0.5652963852524123,-0.525899255231483,-0.5256653733993669,-0.5349205427651421,-0.5690715953936009,-0.5260549987801924,-0.6657267985056537
2023-01-31,-0.19140106506139754,-0.4337607458567635,-0.20545788187396685,-0.2698949804530899,-0.20429110322505373,-0.23578146665909527,-0.2936200268354997,-0.22935476252527565,-0.2673712363088617
2023-02-28,-0.19105502002590846,-0.4334675107330087,-0.20000356368077388,-0.26327356759246023,-0.1922106590444549,-0.22945540171235457,-0.28365548853187883,-0.22339380105564421,-0.26702246524153195
2023-03-31,-0.30935152028349655,-0.5337160815970331,-0.2801522076498629,-0.35279097201162424,-0.293438886299782,-0.32365870816945863,-0.3767067908740388,-0.3160734405601866,-0.3862505424928714
