data,HRP,risk_parity,eigen,equal,Benchmark
2022-01-31,0.0,0.0,0.0,0.0,
2022-02-28,0.0855998681640624,0.09434593749999998,0.10600736328124993,0.10309200683593756,0.08589970747939146
2022-03-31,0.18322291600978802,0.18171152323657158,0.19915709755294575,0.1867825123102005,0.21005752636579222
2022-04-30,0.04029993963104894,0.03859333240166207,0.048442050597370945,0.04357633727150012,0.0420148463562785
2022-05-31,-0.14756307591439288,-0.15212249638852438,-0.1626942767667755,-0.15398077977594415,-0.2465583655589363
2022-06-30,-0.47385842526303645,-0.5012980516201053,-0.5392718157109903,-0.5251193235635548,-0.697063724841636
2022-07-31,-0.21317588762783157,-0.2015933442758413,-0.1883223970408564,-0.18222713555019754,-0.1215749398137198
2022-08-31,-0.3275806108432685,-0.2771437885250262,-0.2731183034244836,-0.2664229159075533,-0.19759699137237796
2022-09-30,-0.3844032493442954,-0.3382377673609238,-0.35723543382762935,-0.34278177743682325,-0.3428685927905978
2022-10-31,-0.29502046042785646,-0.2395977827748934,-0.22216032442177736,-0.23295021172581676,-0.15857659222913878
2022-11-30,-0.44527758696626385,-0.4174322050527014,-0.3488455775780921,-0.36608906409428377,-0.334721647712911
2022-12-31,-0.49169108839512066,-0.45950971889703407,-0.3999379544514228,-0.4156130414503202,-0.4110651136528084
2023-01-31,-0.15652837076544457,-0.21404702064185765,-0.11631397734765159,-0.13901184036859948,-0.08538536212408776
2023-02-28,-0.15362649529625716,-0.2096271008832704,-0.11227774059419637,-0.1329620150496874,-0.07318283502877632
2023-03-31,-0.1214339866646652,-0.17548466490078685,-0.07770202423819939,-0.09853773522286591,-0.031289004064022685
