data,HRP,risk_parity,eigen,equal,Benchmark
2022-01-31,0.0,0.0,0.0,0.0,
2022-02-28,0.0855998681640624,0.09434593749999998,0.10600736328124993,0.10309200683593756,0.08589970747939146
2022-03-31,0.17795380925203186,0.18309621520583286,0.19275429402137334,0.18398584801726225,0.21005752636579222
2022-04-30,0.030438350254382573,0.03627534699139201,0.037442827972925086,0.03511700387439154,0.0420148463562785
2022-05-31,-0.15319018792001138,-0.15406212885661463,-0.1693168446026898,-0.16362368911542924,-0.2465583655589363
2022-06-30,-0.4794630231626419,-0.5024859483639367,-0.5480763977476889,-0.5370771964867428,-0.697063724841636
2022-07-31,-0.22879938859384497,-0.20648977945473346,-0.20115997362169213,-0.1963908327600271,-0.1215749398137198
2022-08-31,-0.3347032094890967,-0.2835036862198478,-0.2881763440259977,-0.28216656817891783,-0.19759699137237796
2022-09-30,-0.3877880769519051,-0.3527071035431195,-0.37223611284572455,-0.3645207123443749,-0.3428685927905978
2022-10-31,-0.2953354350434194,-0.2525424509232217,-0.23990553688718386,-0.25626279327519075,-0.15857659222913878
2022-11-30,-0.43307270977451573,-0.415634476857774,-0.3708879819948049,-0.3952394636022599,-0.334721647712911
2022-12-31,-0.4786573844665436,-0.4555845554572464,-0.42133221430549594,-0.4445872159412265,-0.4110651136528084
2023-01-31,-0.14078242086955606,-0.21228026012770562,-0.1409736970405694,-0.16049843310686973,-0.08538536212408776
2023-02-28,-0.13795904942787174,-0.2078820632727123,-0.13583041165290177,-0.15326770412195478,-0.07318283502877632
2023-03-31,-0.10606975416694042,-0.17391225589050885,-0.09981110116785319,-0.11896447696224643,-0.031289004064022685
