data,HRP,risk_parity,eigen,equal,Benchmark
2022-01-31,0.0,0.0,0.0,0.0,
2022-02-28,0.06502000000000008,0.07949700195312492,0.09106211425781252,0.08874909179687496,0.08589970747939146
2022-03-31,0.15221637316450054,0.1605122232259304,0.17443143372035008,0.17021314242256302,0.21005752636579222
2022-04-30,0.015180614653606428,0.017415480508140235,0.022405902879365946,0.025574226427396485,0.0420148463562785
2022-05-31,-0.1568971205098436,-0.169485089363536,-0.1797752309209787,-0.17580815800990757,-0.2465583655589363
2022-06-30,-0.4813353247776635,-0.519064805170199,-0.5638757624747316,-0.5488791468955915,-0.697063724841636
2022-07-31,-0.21448720252558306,-0.23545073052563603,-0.21286509120543007,-0.20660496066086853,-0.1215749398137198
2022-08-31,-0.31456309481864764,-0.30458084727868906,-0.2910671603820921,-0.2872766985803382,-0.19759699137237796
2022-09-30,-0.38469388200910737,-0.37981121198096046,-0.3795443102234519,-0.36609462073762955,-0.3428685927905978
2022-10-31,-0.3065507122779926,-0.2969421600842437,-0.2781874698790652,-0.2581736717377273,-0.15857659222913878
2022-11-30,-0.4571723906977778,-0.412327003399226,-0.4060884271706495,-0.3971765752701114,-0.334721647712911
2022-12-31,-0.5008967574235701,-0.4612013311055351,-0.45518304992507463,-0.4465259229795967,-0.4110651136528084
2023-01-31,-0.1688031730494386,-0.22490601965768386,-0.17322554309232885,-0.1657317563970443,-0.08538536212408776
2023-02-28,-0.16551290387856343,-0.22023857092869148,-0.16579806132157437,-0.15859573720526499,-0.07318283502877632
2023-03-31,-0.1267586373691858,-0.1809865550421733,-0.1252826529622988,-0.11988319552535642,-0.02571901136211474
