data,HRP,risk_parity,eigen,equal,Benchmark
2022-01-31,0.0,0.0,0.0,0.0,
2022-02-28,0.08423261962890627,0.08788962646484366,0.09385965576171884,0.08874909179687496,0.08589970747939146
2022-03-31,0.17481079287387535,0.17545647748558446,0.17691049007372084,0.17021314242256302,0.21005752636579222
2022-04-30,0.034241213523039216,0.03352882261260848,0.03092237077360438,0.023010511731927807,0.0420148463562785
2022-05-31,-0.13353275861673986,-0.14961173526032534,-0.16127414784069793,-0.17752686372206494,-0.2465583655589363
2022-06-30,-0.4558536504864339,-0.4934096133730531,-0.5376333041360327,-0.5482836589505793,-0.697063724841636
2022-07-31,-0.1976499450614735,-0.22424594933028186,-0.20531939962271306,-0.21986476841174318,-0.1215749398137198
2022-08-31,-0.30266131388940076,-0.29554809810187144,-0.2894912950738108,-0.3027792003409008,-0.19759699137237796
2022-09-30,-0.36280649040812385,-0.357620226082056,-0.3683822638774701,-0.3825079768595575,-0.3428685927905978
2022-10-31,-0.27267685031609434,-0.2586026700412427,-0.257048948266154,-0.2729764677358063,-0.15857659222913878
2022-11-30,-0.3905197109567986,-0.3837220032066311,-0.4050423186214309,-0.4185119977783436,-0.334721647712911
2022-12-31,-0.4350071586170391,-0.43060631433820773,-0.4554494380611611,-0.4678916998539706,-0.4110651136528084
2023-01-31,-0.1470526255281247,-0.10931937427106408,-0.17409865877079467,-0.17976910761407883,-0.08538536212408776
2023-02-28,-0.1429289289871104,-0.10417585800344731,-0.1653958286682251,-0.17375699104572018,-0.07318283502877632
2023-03-31,-0.10477194295888592,-0.06607150674413376,-0.12518116524878797,-0.13443054823788492,-0.025742423635603973
