data,MV,HRP,Sharpe_Ratio,risk_parity,cvar,cdar,eigen,random,equal,Benchmark
2022-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-02-28,0.09422937500000006,0.07838639892578136,0.10683261230468744,0.08576091552734377,0.08558183105468742,0.09590734863281258,0.09198232666015627,0.07451223144531238,0.09198232666015627,0.1223941500332939
2022-03-31,0.2583647046869315,0.17119993956667146,0.21533372792697314,0.16922545893327912,0.21135944466598722,0.17928680564801014,0.17647585257088583,0.18210108995285523,0.17647585257088583,0.17669527936959395
2022-04-30,0.13390716739910768,0.03526532831612794,0.08712666767228205,0.029208339005647677,0.05000349329981346,0.03160940989745875,0.029267052822766426,0.028569262486191183,0.029267052822766426,0.0048896515811953645
2022-05-31,-0.005569696838873761,-0.15290591805379927,-0.016358244414803824,-0.163269328605826,-0.23441461986324275,-0.16603376182076113,-0.16881071399003744,-0.13752699368353793,-0.16881071399003744,-0.152145588576037
2022-06-30,-0.38091007207105476,-0.47918908918808556,-0.39201210434452805,-0.5120635337204076,-0.6809890079753504,-0.5451165495268333,-0.5450149659210886,-0.4986981457700934,-0.5450149659210886,-0.5298338967809679
2022-07-31,-0.20315584079739923,-0.22626307956896297,0.0428105108184601,-0.23957076163296498,-0.1059529779555719,-0.19264193239608485,-0.20510812630427688,-0.20317380781024008,-0.20510812630427688,-0.35029288009551185
2022-08-31,-0.34282122915844315,-0.3370246878615294,-0.08751175708147552,-0.3134280160719496,-0.18193705646338865,-0.2749042539004888,-0.28532609538301434,-0.30191817917282426,-0.28532609538301434,-0.49114849106764213
2022-09-30,-0.3861756738019868,-0.3927581994735686,-0.13157037667505944,-0.3634231326139744,-0.21293290182959257,-0.3541561652748828,-0.3660919092437984,-0.38098464805060994,-0.3660919092437984,-0.5219705306431943
2022-10-31,-0.35257554157554627,-0.3051774391122436,-0.07098189128725385,-0.2720778586660436,-0.014682549915236431,-0.2438607998600335,-0.2596521292839922,-0.28049977236102464,-0.2596521292839922,-0.4672156971290067
2022-11-30,-0.44196229331513004,-0.43235237326247644,-0.32502931844812755,-0.4380272594148371,-0.18835631058394997,-0.3904491506153659,-0.3926318384953379,-0.43284304628117554,-0.3926318384953379,-0.6295519486198818
2022-12-31,-0.47602721055313835,-0.47458933349721055,-0.3580055947191739,-0.47910131579417936,-0.26340356932131237,-0.44058327456520663,-0.4412517667083785,-0.4829042827854082,-0.4412517667083785,-0.6657267985056537
2023-01-31,-0.15726778916897322,-0.17641240574286476,-0.037321072400746336,-0.23193954131056482,0.08382870124584563,-0.15572122654977238,-0.16182582559274705,-0.19650637191135423,-0.16182582559274705,-0.2673712363088617
2023-02-28,-0.10873371960593448,-0.14152313521385917,0.011260897376566548,-0.18970617058471506,0.12280129144550567,-0.10841150466090343,-0.1158648635236349,-0.1582557326041778,-0.1158648635236349,-0.26702246524153195
