data,MV,Sharpe_Ratio,HRP
2022-03-31,0.0,0.0,0.0
2022-04-30,0.0,0.0,0.0
2022-05-31,0.045559687499999946,0.045559687499999946,-0.044877915039062466
2022-06-30,-0.2989711162770441,-0.2989711162770441,-0.3538244669521152
2022-07-31,-0.1434770323321779,-0.1434770323321779,-0.08934659363061603
2022-08-31,-0.2680057921292831,-0.23425270236316065,-0.18300554218661413
2022-09-30,-0.29474700857376956,-0.3719813784651457,-0.23524572499986618
2022-10-31,-0.24744087585185626,-0.32906594488516416,-0.14303278812567
2022-11-30,-0.3886908490768828,-0.4555639771881813,-0.26977910058885857
2022-12-31,-0.4193939723042054,-0.48952400052768263,-0.30951843494211395
2023-01-31,-0.08320137619589685,-0.12758739283539677,-0.023813801115384003
2023-02-28,-0.01870014828764688,-0.05894617914613942,0.03910086253309697
