data,MV,Sharpe_Ratio,HRP,cvar,risk_parity,cdar,random,IVP,eigen,equal
2022-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,0.0232838085937499,-0.004498768310546852,-0.06431543701171871,-0.1681789819335937,-0.07232395996093754,-0.07632822143554685,-0.0923452673339844,-0.06831969848632813,-0.08033248291015627,-0.07632822143554685
2022-06-30,-0.3287470908556349,-0.35712476890742884,-0.3764173195538123,-0.6099954850465619,-0.4059851560151968,-0.4287301324878271,-0.44177483425190234,-0.3834012706871389,-0.4359284722099046,-0.4287301324878271
2022-07-31,-0.16802906523080718,-0.19176954001654378,-0.10325329992129295,-0.044385008556471206,-0.12240207745211706,-0.1073716284175078,-0.12130671600584941,-0.1078697330807582,-0.10373121982052402,-0.1073716284175078
2022-08-31,-0.296162178572988,-0.3001391807161874,-0.19025290016402285,-0.1200018946325152,-0.22867688374474782,-0.1853833379704951,-0.22866495837184142,-0.19546048080821354,-0.17218240689897535,-0.18256972579507258
2022-09-30,-0.32379114096072714,-0.4450737231258509,-0.2439902224946271,-0.26443592516166103,-0.29703278137544986,-0.26819712226970993,-0.3339437829489208,-0.24959799193943355,-0.2573430721665878,-0.25791455488975357
2022-10-31,-0.2748699322211964,-0.4086113895485003,-0.14868800309038788,-0.0813858452059868,-0.20173207515469715,-0.16080414407032895,-0.2263983406062976,-0.1535454224770627,-0.1363718111173119,-0.15184312601516103
2022-11-30,-0.4207173979502853,-0.5207400679572496,-0.28099720322892285,-0.2565275455588184,-0.3647416872468997,-0.29932532524285316,-0.3934320555967922,-0.28321600192682916,-0.26501977671462784,-0.2815983876447439
2022-12-31,-0.45259050478668994,-0.5546001739757793,-0.3207924300832662,-0.3323438098699728,-0.41425058907581935,-0.3478483335284924,-0.43577033851543057,-0.32281539185717123,-0.3125018969796436,-0.3284144489891486
2023-01-31,-0.10316506804048375,-0.1661446816318839,-0.03144617078526302,-0.009097591719142595,-0.06920299171427169,-0.07304919055517278,-0.1579016702987015,-0.03233341672425882,-0.0506845198917083,-0.06498209089190377
2023-02-28,-0.13924547717290647,-0.1972051677228398,-0.06775091098062513,-0.027687023326323112,-0.09078254587912138,-0.09204366022900634,-0.1712563006039053,-0.06874858084950908,-0.07309624882058008,-0.08476181689360707
